d1,d2,d3,x,y,z,value,label,label_clean,Model,ROI_model
55,47,14,-0.902564197778702,-8.11569726467133,-4.66810302436352,-3.211,left Brainstem_left,left_brainstem_left_2,Lmod1_peaks,left_brainstem_left_2_Lmod1_peaks
102,61,51,6.81025655567646,-5.82034850120544,1.39224174618721,-3.001, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left_12,Lmod1_peaks,agranular_dysgranular_insular_cortex_left_12_Lmod1_peaks
32,88,62,-4.67692328989506,-1.39360445737839,3.19396586716175,-2.867,left Lateral Parietal Associative Cortex_left,left_lateral_parietal_associative_cortex_left,Lmod1_peaks,left_lateral_parietal_associative_cortex_left_Lmod1_peaks
56,28,70,-0.738461628556252,-11.2308134436607,4.5043106824159604,-2.832, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left_13,Lmod1_peaks,agranular_dysgranular_insular_cortex_left_13_Lmod1_peaks
61,37,39,0.0820512175559998,-9.75523209571838,-0.573275476694107,8.414,right Molecular Layer of the Cerebellum,right_molecular_layer_of_the_cerebellum,Pmod1_peaks,right_molecular_layer_of_the_cerebellum_Pmod1_peaks
87,98,37,4.34871801733971,0.245930373668671,-0.90086168050766,7.016,right Striatum,right_striatum,Pmod1_peaks,right_striatum_Pmod1_peaks
62,106,31,0.24615378677845,1.55755823850632,-1.88362029194832,7.01,right Basal Forebrain Region,right_basal_forebrain_region,Pmod1_peaks,right_basal_forebrain_region_Pmod1_peaks
78,84,73,2.87179489433765,-2.04941838979721,4.99568998813629,6.865,right Lateral Parietal Associative Cortex,right_lateral_parietal_associative_cortex,Pmod1_peaks,right_lateral_parietal_associative_cortex_Pmod1_peaks
53,84,75,-1.2307693362236,-2.04941838979721,5.32327619194984,6.708,left Retosplenial Dysgranular Cortex_left,left_retosplenial_dysgranular_cortex_left,Pmod1_peaks,left_retosplenial_dysgranular_cortex_left_Pmod1_peaks
28,44,33,-5.33333356678486,-8.60755771398544,-1.55603408813477,6.292,left Molecular Layer of the Cerebellum_left,left_molecular_layer_of_the_cerebellum_left,Pmod1_peaks,left_molecular_layer_of_the_cerebellum_left_Pmod1_peaks
70,64,60,1.55897434055805,-5.32848805189133,2.8663796633482,6.282,right Parasubiculum,right_parasubiculum,Pmod1_peaks,right_parasubiculum_Pmod1_peaks
73,67,30,2.0512820482254,-4.83662760257721,-2.04741339385509,6.106,right Substantia Nigra,right_substantia_nigra,Pmod1_peaks,right_substantia_nigra_Pmod1_peaks
79,88,14,3.0358974635601,-1.39360445737839,-4.66810302436352,6.085, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left,Pmod1_peaks,agranular_dysgranular_insular_cortex_left_Pmod1_peaks
36,88,15,-4.02051301300526,-1.39360445737839,-4.50430992245674,6.033, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left_2,Pmod1_peaks,agranular_dysgranular_insular_cortex_left_2_Pmod1_peaks
65,108,56,0.738461494445801,1.88546520471573,2.21120725572109,5.803,right Corpus Callosum and Associated Subcortical White Matter,right_corpus_callosum_and_associated_subcortical_white_matter,Pmod1_peaks,right_corpus_callosum_and_associated_subcortical_white_matter_Pmod1_peaks
45,77,50,-2.5435898900032,-3.19709277153015,1.22844864428043,5.764,left Thalamus_left ,left_thalamus_left,Pmod1_peaks,left_thalamus_left_Pmod1_peaks
49,52,64,-1.8871796131134,-7.2959298491478,3.5215520709753,5.67, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left_3,Pmod1_peaks,agranular_dysgranular_insular_cortex_left_3_Pmod1_peaks
81,30,59,3.364102602005,-10.9029064774513,2.70258656144142,5.459,right Molecular Layer of the Cerebellum,right_molecular_layer_of_the_cerebellum_2,Pmod1_peaks,right_molecular_layer_of_the_cerebellum_2_Pmod1_peaks
23,112,60,-6.15384641289711,2.54127913713455,2.8663796633482,5.431, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left_4,Pmod1_peaks,agranular_dysgranular_insular_cortex_left_4_Pmod1_peaks
15,70,40,-7.46666696667671,-4.34476715326309,-0.409482374787331,5.346,left Ectorhinal Cortex_left,left_ectorhinal_cortex_left,Pmod1_peaks,left_ectorhinal_cortex_left_Pmod1_peaks
105,60,39,7.30256426334381,-5.98430198431015,-0.573275476694107,5.102, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left_5,Pmod1_peaks,agranular_dysgranular_insular_cortex_left_5_Pmod1_peaks
99,37,30,6.31794884800911,-9.75523209571838,-2.04741339385509,4.78,right Granule Cell Level of the Cerebellum,right_granule_cell_level_of_the_cerebellum,Pmod1_peaks,right_granule_cell_level_of_the_cerebellum_Pmod1_peaks
